id,unit_name,catch_copy,goal,target_grade,disability_type,developmental_stage,duration,materials,introduction_flow,activity_flow,reflection_flow,points,hashtags,image,material_photos,video_link,detail_word_url,detail_pdf_url,detail_ppt_url,detail_excel_url,ict_use,subject,group_type,unit_orderunit_lesson_title,
11, 「自分でお弁当を作ろう」,得意なことを見つけて、自立へ一歩！,手順に沿って調理し、お弁当を完成させる,中学部,知的中度,中学部1段階（6～19歳）,94分,"食材一式,調理器具,レシピカード",スライドを使って、今日の授業の説明,今日のメニューと役割分担の確認;レシピカードを見ながら調理（計量、切る、炒めるなど）;お弁当箱に盛り付け、片付け,今日の調理の評価,写真付きレシピカードで視覚的に手順を支援;包丁や火の扱いなど、安全指導を徹底;役割分担を明確にし、協力して作業する経験を積む,"中学部,生活単元,調理,自立活動,食育,家庭科",https://i.imgur.com/example_cooking.jpg,https://i.imgur.com/example_recipe_card.jpg,,,https://example.com/cooking_lesson_plan.pdf,,,なし,生活単元学習,学年,1, 「自分でお弁当を作ろう」
12, 「自分でお弁当を作ろう」,得意なことを見つけて、自立へ一歩！,手順に沿って調理し、お弁当を完成させる,中学部,知的中度,中学部1段階（6～20歳）,95分,"食材一式,調理器具,レシピカード",スライドを使って、今日の授業の説明,今日のメニューと役割分担の確認;レシピカードを見ながら調理（計量、切る、炒めるなど）;お弁当箱に盛り付け、片付け,今日の調理の評価,写真付きレシピカードで視覚的に手順を支援;包丁や火の扱いなど、安全指導を徹底;役割分担を明確にし、協力して作業する経験を積む,"中学部,生活単元,調理,自立活動,食育,家庭科",https://i.imgur.com/example_cooking.jpg,https://i.imgur.com/example_recipe_card.jpg,,,https://example.com/cooking_lesson_plan.pdf,,,なし,生活単元学習,学年,1, 「自分でお弁当を作ろう」
13, 「自分でお弁当を作ろう」,得意なことを見つけて、自立へ一歩！,手順に沿って調理し、お弁当を完成させる,中学部,知的中度,中学部1段階（6～21歳）,96分,"食材一式,調理器具,レシピカード",スライドを使って、今日の授業の説明,今日のメニューと役割分担の確認;レシピカードを見ながら調理（計量、切る、炒めるなど）;お弁当箱に盛り付け、片付け,今日の調理の評価,写真付きレシピカードで視覚的に手順を支援;包丁や火の扱いなど、安全指導を徹底;役割分担を明確にし、協力して作業する経験を積む,"中学部,生活単元,調理,自立活動,食育,家庭科",https://i.imgur.com/example_cooking.jpg,https://i.imgur.com/example_recipe_card.jpg,,,https://example.com/cooking_lesson_plan.pdf,,,なし,生活単元学習,学年,1, 「自分でお弁当を作ろう」
14, 「自分でお弁当を作ろう」,得意なことを見つけて、自立へ一歩！,手順に沿って調理し、お弁当を完成させる,中学部,知的中度,中学部1段階（6～22歳）,97分,"食材一式,調理器具,レシピカード",スライドを使って、今日の授業の説明,今日のメニューと役割分担の確認;レシピカードを見ながら調理（計量、切る、炒めるなど）;お弁当箱に盛り付け、片付け,今日の調理の評価,写真付きレシピカードで視覚的に手順を支援;包丁や火の扱いなど、安全指導を徹底;役割分担を明確にし、協力して作業する経験を積む,"中学部,生活単元,調理,自立活動,食育,家庭科",https://i.imgur.com/example_cooking.jpg,https://i.imgur.com/example_recipe_card.jpg,,,https://example.com/cooking_lesson_plan.pdf,,,なし,生活単元学習,学年,1, 「自分でお弁当を作ろう」
15, 「自分でお弁当を作ろう」,得意なことを見つけて、自立へ一歩！,手順に沿って調理し、お弁当を完成させる,中学部,知的中度,中学部1段階（6～23歳）,98分,"食材一式,調理器具,レシピカード",スライドを使って、今日の授業の説明,今日のメニューと役割分担の確認;レシピカードを見ながら調理（計量、切る、炒めるなど）;お弁当箱に盛り付け、片付け,今日の調理の評価,写真付きレシピカードで視覚的に手順を支援;包丁や火の扱いなど、安全指導を徹底;役割分担を明確にし、協力して作業する経験を積む,"中学部,生活単元,調理,自立活動,食育,家庭科",https://i.imgur.com/example_cooking.jpg,https://i.imgur.com/example_recipe_card.jpg,,,https://example.com/cooking_lesson_plan.pdf,,,なし,生活単元学習,学年,1, 「自分でお弁当を作ろう」
16, 「自分でお弁当を作ろう」,得意なことを見つけて、自立へ一歩！,手順に沿って調理し、お弁当を完成させる,中学部,知的中度,中学部1段階（6～24歳）,99分,"食材一式,調理器具,レシピカード",スライドを使って、今日の授業の説明,今日のメニューと役割分担の確認;レシピカードを見ながら調理（計量、切る、炒めるなど）;お弁当箱に盛り付け、片付け,今日の調理の評価,写真付きレシピカードで視覚的に手順を支援;包丁や火の扱いなど、安全指導を徹底;役割分担を明確にし、協力して作業する経験を積む,"中学部,生活単元,調理,自立活動,食育,家庭科",https://i.imgur.com/example_cooking.jpg,https://i.imgur.com/example_recipe_card.jpg,,,https://example.com/cooking_lesson_plan.pdf,,,なし,生活単元学習,学年,1, 「自分でお弁当を作ろう」
17, 「自分でお弁当を作ろう」,得意なことを見つけて、自立へ一歩！,手順に沿って調理し、お弁当を完成させる,中学部,知的中度,中学部1段階（6～25歳）,100分,"食材一式,調理器具,レシピカード",スライドを使って、今日の授業の説明,今日のメニューと役割分担の確認;レシピカードを見ながら調理（計量、切る、炒めるなど）;お弁当箱に盛り付け、片付け,今日の調理の評価,写真付きレシピカードで視覚的に手順を支援;包丁や火の扱いなど、安全指導を徹底;役割分担を明確にし、協力して作業する経験を積む,"中学部,生活単元,調理,自立活動,食育,家庭科",https://i.imgur.com/example_cooking.jpg,https://i.imgur.com/example_recipe_card.jpg,,,https://example.com/cooking_lesson_plan.pdf,,,なし,生活単元学習,学年,1, 「自分でお弁当を作ろう」
18, 「自分でお弁当を作ろう」,得意なことを見つけて、自立へ一歩！,手順に沿って調理し、お弁当を完成させる,中学部,知的中度,中学部1段階（6～26歳）,101分,"食材一式,調理器具,レシピカード",スライドを使って、今日の授業の説明,今日のメニューと役割分担の確認;レシピカードを見ながら調理（計量、切る、炒めるなど）;お弁当箱に盛り付け、片付け,今日の調理の評価,写真付きレシピカードで視覚的に手順を支援;包丁や火の扱いなど、安全指導を徹底;役割分担を明確にし、協力して作業する経験を積む,"中学部,生活単元,調理,自立活動,食育,家庭科",https://i.imgur.com/example_cooking.jpg,https://i.imgur.com/example_recipe_card.jpg,,,https://example.com/cooking_lesson_plan.pdf,,,なし,生活単元学習,学年,1, 「自分でお弁当を作ろう」
19, 「自分でお弁当を作ろう」,得意なことを見つけて、自立へ一歩！,手順に沿って調理し、お弁当を完成させる,中学部,知的中度,中学部1段階（6～27歳）,102分,"食材一式,調理器具,レシピカード",スライドを使って、今日の授業の説明,今日のメニューと役割分担の確認;レシピカードを見ながら調理（計量、切る、炒めるなど）;お弁当箱に盛り付け、片付け,今日の調理の評価,写真付きレシピカードで視覚的に手順を支援;包丁や火の扱いなど、安全指導を徹底;役割分担を明確にし、協力して作業する経験を積む,"中学部,生活単元,調理,自立活動,食育,家庭科",https://i.imgur.com/example_cooking.jpg,https://i.imgur.com/example_recipe_card.jpg,,,https://example.com/cooking_lesson_plan.pdf,,,なし,生活単元学習,学年,1, 「自分でお弁当を作ろう」
20, 「自分でお弁当を作ろう」,得意なことを見つけて、自立へ一歩！,手順に沿って調理し、お弁当を完成させる,中学部,知的中度,中学部1段階（6～28歳）,103分,"食材一式,調理器具,レシピカード",スライドを使って、今日の授業の説明,今日のメニューと役割分担の確認;レシピカードを見ながら調理（計量、切る、炒めるなど）;お弁当箱に盛り付け、片付け,今日の調理の評価,写真付きレシピカードで視覚的に手順を支援;包丁や火の扱いなど、安全指導を徹底;役割分担を明確にし、協力して作業する経験を積む,"中学部,生活単元,調理,自立活動,食育,家庭科",https://i.imgur.com/example_cooking.jpg,https://i.imgur.com/example_recipe_card.jpg,,,https://example.com/cooking_lesson_plan.pdf,,,なし,生活単元学習,学年,1, 「自分でお弁当を作ろう」
21, 「自分でお弁当を作ろう」,得意なことを見つけて、自立へ一歩！,手順に沿って調理し、お弁当を完成させる,中学部,知的中度,中学部1段階（6～29歳）,104分,"食材一式,調理器具,レシピカード",スライドを使って、今日の授業の説明,今日のメニューと役割分担の確認;レシピカードを見ながら調理（計量、切る、炒めるなど）;お弁当箱に盛り付け、片付け,今日の調理の評価,写真付きレシピカードで視覚的に手順を支援;包丁や火の扱いなど、安全指導を徹底;役割分担を明確にし、協力して作業する経験を積む,"中学部,生活単元,調理,自立活動,食育,家庭科",https://i.imgur.com/example_cooking.jpg,https://i.imgur.com/example_recipe_card.jpg,,,https://example.com/cooking_lesson_plan.pdf,,,なし,生活単元学習,学年,1, 「自分でお弁当を作ろう」
22, 「自分でお弁当を作ろう」,得意なことを見つけて、自立へ一歩！,手順に沿って調理し、お弁当を完成させる,中学部,知的中度,中学部1段階（6～30歳）,105分,"食材一式,調理器具,レシピカード",スライドを使って、今日の授業の説明,今日のメニューと役割分担の確認;レシピカードを見ながら調理（計量、切る、炒めるなど）;お弁当箱に盛り付け、片付け,今日の調理の評価,写真付きレシピカードで視覚的に手順を支援;包丁や火の扱いなど、安全指導を徹底;役割分担を明確にし、協力して作業する経験を積む,"中学部,生活単元,調理,自立活動,食育,家庭科",https://i.imgur.com/example_cooking.jpg,https://i.imgur.com/example_recipe_card.jpg,,,https://example.com/cooking_lesson_plan.pdf,,,なし,生活単元学習,学年,1, 「自分でお弁当を作ろう」
23, 「自分でお弁当を作ろう」,得意なことを見つけて、自立へ一歩！,手順に沿って調理し、お弁当を完成させる,中学部,知的中度,中学部1段階（6～31歳）,106分,"食材一式,調理器具,レシピカード",スライドを使って、今日の授業の説明,今日のメニューと役割分担の確認;レシピカードを見ながら調理（計量、切る、炒めるなど）;お弁当箱に盛り付け、片付け,今日の調理の評価,写真付きレシピカードで視覚的に手順を支援;包丁や火の扱いなど、安全指導を徹底;役割分担を明確にし、協力して作業する経験を積む,"中学部,生活単元,調理,自立活動,食育,家庭科",https://i.imgur.com/example_cooking.jpg,https://i.imgur.com/example_recipe_card.jpg,,,https://example.com/cooking_lesson_plan.pdf,,,なし,生活単元学習,学年,1, 「自分でお弁当を作ろう」
24, 「自分でお弁当を作ろう」,得意なことを見つけて、自立へ一歩！,手順に沿って調理し、お弁当を完成させる,中学部,知的中度,中学部1段階（6～32歳）,107分,"食材一式,調理器具,レシピカード",スライドを使って、今日の授業の説明,今日のメニューと役割分担の確認;レシピカードを見ながら調理（計量、切る、炒めるなど）;お弁当箱に盛り付け、片付け,今日の調理の評価,写真付きレシピカードで視覚的に手順を支援;包丁や火の扱いなど、安全指導を徹底;役割分担を明確にし、協力して作業する経験を積む,"中学部,生活単元,調理,自立活動,食育,家庭科",https://i.imgur.com/example_cooking.jpg,https://i.imgur.com/example_recipe_card.jpg,,,https://example.com/cooking_lesson_plan.pdf,,,なし,生活単元学習,学年,1, 「自分でお弁当を作ろう」
